sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.9656;-8.2678;5.691;-3.9831;-8.0505;3.9363;1.8885;-0.1831;1.1844;-0.0889;-0.0586;0.1541;0.0;-4.83;41.89;-19.3;46.02;54.93;48.84;0.0;989.77;63.218;35.94244;-84.165184;875.31;NaN;;0.0;27.058195;;8 / 19;27514;2022-11-02 20:42:34:829
-3.2489;-8.67;3.8954;-2.7435;-8.4836;4.0831;-0.5567;0.0;-0.5959;-0.2418;-0.445;-0.2803;0.4063;-0.51;41.82;-20.54;62.71;59.89;33.9;0.0;989.63;57.878;35.94244;-84.165184;875.31;NaN;;0.0;27.058195;;8 / 19;28014;2022-11-02 20:42:35:329
-1.7406;-9.338;1.6712;-0.1214;-9.4937;2.4548;-1.2493;-0.4006;-0.732;-0.6272;-0.7887;-0.514;0.4063;-9.71;43.69;-12.47;68.56;71.44;11.77;0.0;989.55;61.463;35.94244;-84.165184;875.31;NaN;;0.0;27.058195;;8 / 19;28515;2022-11-02 20:42:35:830
-1.9465;-10.8344;3.0813;0.1974;-9.4869;2.4758;-2.0002;-0.6404;0.3719;-0.2929;-0.3794;0.0101;0.0;-19.56;43.52;-5.16;76.24;75.33;-4.56;0.0;989.61;67.195;35.94244;-84.165184;875.31;NaN;;0.0;27.058195;;8 / 19;29014;2022-11-02 20:42:36:329
-2.3487;-9.0028;3.5482;-3.3195;-8.4442;3.721;1.4831;-0.0755;0.3731;0.3261;0.9284;0.4747;0.0;-15.25;43.05;-9.31;40.77;63.32;34.42;0.0;989.62;61.756;35.942444;-84.165184;871.09;NaN;;0.0;27.083147;;9 / 19;29515;2022-11-02 20:42:36:830
-1.9201;-8.1552;4.8123;-3.6268;-8.226;3.918;1.9471;0.0293;1.054;-0.0385;-0.0293;-0.0783;0.0;-2.35;41.05;-20.11;51.3;56.09;47.64;0.0;989.77;67.628;35.942444;-84.165184;871.09;NaN;;0.0;27.083147;;9 / 19;30015;2022-11-02 20:42:37:330
-1.9489;-8.7394;3.2058;-1.7004;-8.8336;3.9047;-0.971;-0.053;0.0568;-0.3519;-0.8225;-0.4096;0.0;-2.67;41.53;-18.93;70.66;64.26;23.53;0.0;989.63;60.983;35.942444;-84.165184;871.09;NaN;;0.0;27.083147;;9 / 19;30515;2022-11-02 20:42:37:830
-1.2498;-10.0562;3.462;0.6813;-9.3818;2.7729;-1.8271;-0.6997;1.0847;0.2723;-0.1868;-0.6776;0.27;-15.73;42.8;-9.39;87.83;73.07;-13.8;0.0;989.59;60.139;35.942444;-84.165184;871.09;NaN;;0.0;27.083147;;9 / 19;31014;2022-11-02 20:42:38:329
-0.0958;-7.8105;3.8379;-1.2926;-9.3659;2.6038;-0.3855;0.2916;-0.1236;0.1234;0.4571;0.8119;0.0;-20.8;42.44;-5.7;52.91;72.76;26.4;0.0;989.61;69.73;35.942444;-84.165184;871.09;NaN;;0.0;27.083147;;9 / 19;31515;2022-11-02 20:42:38:830
-3.0263;-9.338;4.1108;-3.8892;-8.3307;3.4124;1.1513;-0.2394;0.7377;-0.1073;0.3229;0.336;0.5413;-9.45;42.36;-14.23;41.52;59.16;44.26;0.0;989.7;62.533;35.942444;-84.165184;871.09;NaN;;0.0;27.083147;;9 / 19;32015;2022-11-02 20:42:39:330
-3.1173;-8.5168;4.0893;-2.8044;-8.4569;4.0972;0.0556;-0.1088;0.0869;-0.1631;-0.3159;-0.2384;0.0;-1.5;41.44;-19.97;55.66;57.93;38.81;0.0;989.81;66.97;35.942444;-84.165184;871.09;NaN;;0.0;27.083147;;9 / 19;32514;2022-11-02 20:42:39:829
-2.399;-10.152;2.9736;-1.0083;-9.3291;2.8498;-1.0037;0.3302;-0.4831;-0.2621;-0.6332;-0.4163;0.0;-7.01;42.52;-14.68;80.11;72.05;19.48;0.0;989.51;62.465;35.942444;-84.165184;871.09;NaN;;0.0;27.083147;;9 / 19;33015;2022-11-02 20:42:40:330
-1.2019;-10.6955;2.4636;0.5342;-9.468;2.4986;-1.3282;-1.7636;-0.3838;0.0451;-0.0429;-0.0855;0.0;-15.74;43.29;-5.88;80.79;74.7;-12.67;0.0;989.6;60.925;35.942444;-84.16519;868.36;NaN;;0.0;26.972334;;8 / 19;33515;2022-11-02 20:42:40:830
-0.4549;-9.4984;3.553;-1.5472;-9.209;2.995;0.7387;-0.4629;-0.813;0.2169;1.0677;0.5482;0.0;-19.98;42.76;-5.21;46.22;69.89;27.32;0.0;989.62;66.863;35.942444;-84.16519;868.36;NaN;;0.0;26.972334;;8 / 19;34015;2022-11-02 20:42:41:330
-2.6288;-8.3372;3.0047;-3.7844;-8.3436;3.4975;1.551;-0.0837;0.4844;-0.1214;-0.1513;0.2892;0.0;-7.06;41.36;-18.79;51.37;58.3;47.26;0.0;989.74;65.783;35.942444;-84.16519;868.36;NaN;;0.0;26.972334;;8 / 19;34514;2022-11-02 20:42:41:829
